Nom abrégé;Tél. int.;C. P.;Ville;Téléphone;Fax;Vte s/souche;Date mise en vente;Date fermeture;Fam.;Raison sociale;Région                        ;Email;Représentant
-BEYNEY;;33370;TRESSES;05.56 68 30 77;;Non;;;;TRANSPORT BEYNEY;;;
-BIECHER ET FILS;;68590;SAINT HIPPOLYTE;;;Non;;;;BIECHER ET FILS;;;
-BIRMENS;;33220;STE FOY & PONCHAPT;05.53.24.73.19;05.53.61.36.94;Non;;;;TRANSPORTS BIRMENS PATRICK;;;
-BLANC;;07230;LA  BLACHERE;04/75/36/62/08;04/75/36/60/63;Non;;;;SARL MAURICE BLANC;;;
-BONNERY;;11200;BIZANET;;;Non;;;;BONNERRY;;;
-BOUACHON;;84231;CHATEAUNEUF DU PAPE;;;Non;;;;LES VINS BOUACHON SASU;;;
-BOUDON;;30134;PONT ST ESPRIT;04.66.39.13.49;04 66 90 75 42;Non;;;;SARL T.L.D;;transports.boudon@wanadoo.fr;
-BOUGRIER;;41400;ST GEORGES SUR CHER;;;Non;;;;BOUGRIER TRANSPORTS;;;
-BOUYAE;;44830;BOUYAE;;;Non;;;;DIAT;;;
-BSA;;30510;GENERAC;;;Non;;;;BSA INTERNATIONAL;;;
-CANTAL VINS;;15130;ARPAJON SUR CERE;;;Non;;;;CANTAL VINS;;;
-CAVES MAYETOISES;;03250;LE MAYET DE MONTAGNE;;;Non;;;;CAVE MAYETOISES;;;
-CCAI;;13502;MARTIGUES;04.42.35.01.01;04.42.35.01.11;Non;;;;C.C.A.I;;;
-CELLIER;;46110;ST MICHEL DE BANNIERES;05.65.32.14.22;05.65.32.00.58;Non;;;;SARL TRANS CELLIER;;;
-CET;;37150;LA CROIX;;;Non;;;;C.E.T;;;
-CG TRANS;;13014;MARSEILLE;;;Non;;;;CG TRANS;;;
-CHAROUSSET;;84;BOLLENE;;;Non;;;;CHAROUSSET / CORBET;;;
-CHAUVIN;;16300;LAGARDE SUR LE NE;05.45.78.72.56;05.45.78.72.91;Non;;;;TRANSPORTS CHAUVIN;;;
-CONSTANT BONIVERS;;L9906;TROISVIERGES;352 99 77 33;;Non;;;;CONSTANT BONIVERS LUXEMBOURG;;;
-COQUIL;;34360;SAINT CHINIAN;04 67 38 24 12;04 67 38 24 12;Non;;;;TRANSPORTS CAUQUIL;;;
-CORBET;;84500;BOLLENE;;;Non;;;;TRANSPORTS CORBET;;;
-COXE ET FILS SA;;41700;COUDDES;02.54.71.33.33;02.54.71.39.06;Non;;;;COXE ET FILS SA;;;
-CROS;;34500;BEZIERS;04.67.28.33.92;;Non;;;;SARL TRANSPORTS CROS;;;
-DARGELOS;;32800;EAUZE;;;Non;;;;TRANSPORTS DARGELOS;;;
-DE MEULEMESTER;;;TIEL;;;Non;;;;Transports DE MEULEMESTER;;;
-DEGOUL;;84300;CAVAILLON;06.09.87.79.45;04.90.71.69.53;Non;;;;TRANSPORTS DEGOUL;;;
-DELAIR;;20000;BASTIA;;;Non;;;;DELAIR;;;
-DESCOMBES;;69460;ST ETIENNE DES O.;;;Non;;;;Transports DESCOMBES;;;
-DIAT;;44830;BOUYAE;02.40.65.48.13;02.40.65.51.48;Non;;;;TRANSPORT DIAT;;;
-DIDELOT;;88170;CHATENOIS;03 29 08 45 71;03 29 08 03 21;Non;;;;Transports DIDELOT;;;
-DOMERC;;34200;SETE;;;Non;;;;TRANSPORTS DOMERC;;;
-DUCELIER;;11000;CARCASSONNE;04.68.25.33.72;04.68.25.12.02;Non;;;;SA DUCELIER;;;
-DUFFES;;30630;CORNILLON;04.66.82.20.20;04.66.82.30.74;Non;;;;TRANSPORTS DUFFES FRERES;;;
-DUVERNEUIL;;33451;SAINT LOUBES CEDEX;05.57.77.62.00;05.57.77.62.08;Non;;;;TRANSPORTS DUVERNEUIL;;f.duverneuil@alaine.fr;
-E.T.H;;;BUDAPEST;;;Non;;;;E.T.H KFT.;;;
-ECISA;;43203;REUS;977 77 37 32;977 34 10 74;Non;;;;EUROPEA CISTERNAS ALIMENTARIAS;;;
-ERSTEIN;;67151;ERSTEIN CEDEX;03.88.59.86.36;03.88.98.88.55;Non;;;;TRANSPORTS ERSTEIN;;;
-ETIENNE;;34;VILLEPASSANT;;;Non;;;;TRANSPORTS ETIENNE;;;
-ETRATANK;;81245;MUNICH;;;Non;;;;ETRATANK;;;
-EUROLIA;;71150;DEMIGNY;03 85 49 99 60;03 85 49 99 69;Non;;;;TRANSPORTS EUROLIA;;;
-EUROP SUD;;84500;BOLLENE;04.90.30.97.30;04.90.30.44.33;Non;;;;TRANSPORTS EUROP SUD;;;
-EUROSERUM;;12850;ONET LE CHATEAU;05.65.77.16.93;05.65.77.16.96;Non;;;;EUROSERUM SAS;;;
-EUX MEMES;;;;;;Non;;;;EUX MEMES;;;
-F.G.T.I;;34500;BEZIERS;04.67.11.86.80;04.67.11.86.81;Non;;;;F.G.T.I FRIGOVIN;;;
-FANNI;;28078;ROMAGNANO SESIA;00390163834500;;Non;;;;FANNI srl;;;
-FARBOS PIERRE;;47240;CASTELCULIER;05.53.69.22.60;;Non;;;;FARBOS PIERRE SARL;;;
-FARGAS;;34230;LE POUGET;04.67.96.76.27;;Non;;;;TRANSPORTEUR FARGAS;;;
-FASULO GIUSEPPE;;81013;CAIAZZO;0823.862220;0823.615023;Non;;;;FASULO SRL;;;
-FROMONT;;89144;LIGNY LE CHATEL;;;Non;;;;TRANSPORTS FROMONT;;;
-G S R;;11100;MONTREDON DES CORBIERES;04.68.58.18.20;04.68.42.24.81;Non;;;;Grand Sud Route alimentaire;;;
-G.S.R;;11200;NEVIAN;04.68.58.18.20;04.68.43.82.37;Non;;;;SARL GRAND SUD ROUTE alimentaire;;;
-GALIBERT;;12630;AGEN D AVEYRON;05.65.42.29.75;05.65.42.98.52;Non;;;;TRANSPORTS GALIBERT;;;
-GARME SA;;09001;BURGOS;;;Non;;;;GARME SA;;;
-GAUDIN;;44330;LE PALLET;02.40.80.43.16;02.40.80.43.52;Non;;;;TRANSPORT J.L.GAUDIN;;;
-GAUTIER;;35400;SAINT MALO;02.99.81.89.26;02.99.81.35.43;Non;;;;TRANSPORTS GAUTIER;;;
-GIACOMIN;;40120;ROQUEFORT;05.58.76.02.90;05.58.76.16.20;Non;;;;SARL GIACOMIN ET FILS;;;
-GINESTY;;12310;PALMAS;05.65.70.65.17;06.65.47.70.64;Non;;;;EURL GINESTY SERGE;;;
-GIUSTI;;83170;BRIGNOLES;04.94.69.03.76;04.94.59.06.90;Non;;;;EURL GIUSTI LUC;;;
-GOBIN;;44330;LE PALLET;02 40 80 43 16;02 40 80 43 52;Non;;;;SARL   J L G;;;
-GOICHOT;;21190;MERCEUIL;03.80.25.91.37;;Non;;;;AG TRANSPORTS;;;
-GOSCAN;;RO15701121;ROMANIA;;;Non;;;;S.C GODSCAN S.R.L;;;
-GRIMALDI;;14049;NIZZA MONFERRATO (AT);00390141726589;;Non;;;;TRANSPORTS GRIMALDI;;;
-GRUMEL;;01700;ST MAURICE DE BEYNOST;;;Non;;;;TRANSPORTS H. GRUMEL;;;
-GSRA;;11100;MONTREDONT DES CORBIERES;04 68 58 18 20;04 68 42 24 81;Non;;;;GRAND SUR ROUTE ALIMENTAIRE;;;
-GUNTER PETRI;;55271;STADECKEN-ELSHEIM;;;Non;;;;GUNTER PETRI;;;
-H ET S FOODTRANS BV;;5340;OSS;;;Non;;;;H et S FOODTRANS BV;;;
-HEINE;;88239;WANGEN IM ALLGAU;;;Non;;;;TRANSPORTS HEINE;;;
-HOYER;;76107;ROUEN;;;Non;;;;HOYER GLOBAL TRANSPORT;;;
-HUMMER;;97497;DINGOLSHAUSEN/BISCHWIND;;;Non;;;;HUMMER TRANSPORT;;;
-ING TRANSPORTS;;30600;VAUVERT;04.66.88.26.10;04.66.88.26.10;Non;;;;ING TRANSPORTS;;;
-INTER COPAC TRANSPORTS;;84150;JONQUIERES;04.90.70.58.55;04.90.70.58.48;Non;;;;INTER COPAC TRANSPORTS;;;
-ISOLANA;;12063;DOGLIANI;00390173721125;00390173721495;Non;;;;ISOLANA SRL;;;
-JACOMIN;;;;;;Non;;;;TRANSPORTS JACOMIN;;;
-JF HILLEBRAND;;33000;BORDEAUX;;;Non;;;;JF HILLEBRAND;;;
-JO TRACTION;;13230;PORT ST LOUIS DU RHONE;04.42.48.90.20;04.42.48.40.47;Non;;;;JO TRACTION INTERNATIONAL;;;
-JP ARNAUD;;30170;DURFORT;04.66.77.58.65;04.66.77.57.75;Non;;;;TRANSPORTS JEAN PIERRE ARNAUD;;transports.arnaud30@orange.fr;
-KARLINGER;;4-4482;WIRTSCHAFTSPARK STR;;;Non;;;;KARLINGER;;;
-KRALOWETZ;;3372;BLINDENMARKT;;;Non;;;;KRALOWETZ GMBH;;;
-LAFAYE;;87500;LARDIGNAC LE LONG;05.55.09.30.08;05.55.09.37.82;Non;;;;-TRANSPORTS LAFAYE;;;
-LARA 1;;28108;ALCOBENDAS;0034916610173;0034916610175;Non;;;;LARA;;info@transporteslara.com;
-LARA CEA S.L;;28018;MADRID;0034.91.507.31.32;0034.91.507.31.51;Non;;;;LARA CEA S.L;;trafico@laracea.com;
-LAYES;;43003;LE PUY;04.71.09.43.60;04.71.09.68.96;Non;;;;SARL TRANSPORTS LAYES;;;
-LEFERT;;69220;ST JEAN D ARADIERE;03.85.29.61.62;03.85.29.61.40;Non;;;;LEFERT JEAN FRANCOIS;;;
-LES CELLIERS DE GRAND LIEU;;44860;ST AIGNAN DE GRAND LIEU;02.40.26.49.44;;Non;;;;Transport Les Celliers de Grand Lieu;;;
-LFT INTERNATIONALE;;D-85764;OBERSCHLEISSHEIM;;;Non;;;;LFT INTERNATIONALE FACHSPEDITION GMBH;;;
-LIVERANI;;;;;;Non;;;;LIVERANI;;;
-LOGTRANS;;13700;MARIGNANE;;;Non;;;;LOGTRANS;;;
-LUGAGNE;;34480;LAURENS;06.07.21.87.62;;Non;;;;TRANSPORTS LUGAGNE;;;
-MAGGI;;238439;VARESE N°21185;;;Non;;;;MAGGI SRL;;;
-MAGNIN;;74000;PERRIGNIER;04.50.72.02.72;;Non;;;;TRANSPORTS MAGNIN;;;
-MALATERRE;;34310;QUARANTE;04.67.89.30.77;04.67.89.30.24;Non;;;;TRANSPORTS MALATERRE;;;
-MANUTRAN'S;;33521;BRUGES CEDEX;05.56.43.45.00;05.56.43.45.02;Non;;;;STE NOUVELLE MANUTRAN'S;;;
-MARGAROT YOHAN;;30620;AUBORD;;;Non;;;;MARGAROT YOHAN;;;
-MENJUCQ (SARL);;11000;CARCASSONNE;04.68.25.05.80;04.68.25.01.46;Non;;;;VINS MENJUCQ SARL;;;
-MIEGE;;73;ALBENS;;;Non;;;;Transports MIEGE;;;
-MOISES Y CONSTANZA;;13700;TOMELLOSO;;;Non;;;;MOISES Y CONSTANZA;;;
-MOSTEGL;;;LEBENSMITTEL;;;Non;;;;MOSTEGL;;;
-MOYCONS;;13700;TOMELLOSO;;;Non;;;;CISTERNAS MOYCONS S.L;;;
-NUGER NAVEAU;;18600;NEUILLY EN DUN;;;Non;;;;NUGER NAVEAU;;;
-OCHOA;;18120;ALHAMA DE GRANADA;;;Non;;;;F.OCHOA;;;
-OLIVE;;11590;SALLELES D'AUDE;04.68.32.17.72;04.68..65.24.40;Non;;;;TRANSPORTS OLIVE;;;
-OLLIEZ;;43590;BEAUZAC;;;Non;;;;TRANSPORTS OLLIEZ;;;
-PAGES;;30740;LE CAILAR;04 66 88 07 19;04.66.88.54.31;Non;;;;Sarl Transports PAGES;;;
-PALTANK LTD;;PR9 0ER;SOUTHPORT;4401704502550;4401704512126;Non;;;;PALTANK LTD;;;
-PASQUIER DES VIGNES;;71570;ROMANECHE THORINS;03.85.35.26.00;03.85.35.26.13;Non;;;;PASQUIER DES VIGNES;;;
-PAUL LOGISTIK;;61200;WOLFERSHEIM;;;Non;;;;PAUL LOGISTIK;;;
-PERRENOT;;38210;TULLINS;04.76.07.87.17;04.76.07.88.25;Non;;;;TRANSPORTS PERRENOT SA;;;
-PERRIER;;73800;LES MARCHES;;;Non;;;;PERRIER SA;;;
-PEYSSON;;34200;SETE;04 67 78 06 68;04 67 78 00 48;Non;;;;TRANSPORTS PEYSSON;;;
-PIERNAS;;48130;LA CHAZE DE PEYRE;04.66.42.92.12;04.66.42.93.90;Non;;;;SARL TRANSPORTS PIERNAS;;FAX URGENCE 04.67.44.08.55;
-PIOLENC TRANSPORTS;;84420;PIOLENC;06.70.29.51.94;;Non;;;;PIOLENC TRANSPORTS;;;
-POIRIER;;56380;GUER;02.97.22.00.10;02.97.22.16.79;Non;;;;TRANSPORTS POIRIER;;;
-PRENAT;;42;LA FOUILLOUSE;;;Non;;;;PRENAT;;;
-PROTRANS;;26000;VALENCE;0475826060;;Non;;;;TRANSPORTS PROTRANS;;;
-PROVENCE A.J.Y;;13630;EYRAGUES;;;Non;;;;PROVENCE A.J.Y;;;
-PROVENCE EXPRESS FROID;;13834;CHATEAURENARD;06.13.37.22.85;04.90.94.30.62;Non;;;;PROEX FROID;;;
-RALUY;;25181;SOSES;0034 902 205 250;0034 902 205 258;Non;;;;RALUY S.L;;;
-RAMOS;;43203;REUS;;;Non;;;;TRANSPORTES F.RAMOS;;;
-RAPITEAU;;17210;ORIGNOLLES;05.46.04.43.19;05.46.04.51.95;Non;;;;TRANSPORT RAPITEAU;;;
-RASTEGUE;;83170;BRIGNOLES;04.94.69.70.72;04.94.69.78.37;Non;;;;HB RASTEGUE TRANSPORTS;;;
-REMONDIS;;66600;RIVESALTES;04.68.64.20.20;;Non;;;;TRANSPORTS RAYMONDIS;;;
-RENEIMOIS;;69500;BRON;06.80.33.68.85;;Non;;;;TRANSPORTS RENEIMOIS;;;
-RICOTTO;;10068;VILLAFRANCA;;;Non;;;;RICOTTO;;;
-RISS ET HAMMES;;67761;GAMBSHEIM CEDEX;;;Non;;;;RISS ET HAMMES SAS;;;
-ROGER;;34820;TEYRAN;04.67.87.37.67;;Non;;;;TRANSPORTS ROGER;;;
-ROUILLE;;71460;SAINT GENGOUX LE NATIONAL;03.85.92.54.16;03.85.92.62.23;Non;;;;ROUILLE COULON;;;
-RUPERT STRÖBELE;;D-88263;HORGENZELL;07504971673;07504971674;Non;;;;RUPERT STRÖBELE;;;
-SALVADOR;;3748GCL;;;;Non;;;;SALVADOR;;;
-SARRION;;34110;FRONTIGNAN;04.67.18.99.99;04.67.18.98.05;Non;;;;TRANSPORTS SARRION;;;
-SAUVIN;;;;;;Non;;;;TRANSPORT SAUVIN;;;
-SCHNEIDER;;88353;WALTERSHOFEN;0 75 63 21 05;0 75 63 33 14;Non;;;;SCHNEIDER TRANSPORTE OHG;;;
-SEBETO;;;;;;Non;;;;SEBETO Autotransporti;;;
-SKALLI;;84700;SORGUES;;;Non;;;;SKALLI;;;
-SOTRALIS;;84150;JONCQUIERES;03.85.29.61.06;;Non;;;;TRANSPORTS SOTALIS;;;
-SOUTRY;;62223;ROCLINCOURT;03.21.55.43.16;;Non;;;;TRANSPORT SOUTRY;;;
-SPARTE SAS;;13727;MARIGNANE;;;Non;;;;SAS SPARTE EXPRESS DISTRIBUTION;;;
-STIC;;L4801;RODANGE;0035227621407;0035226502898;Non;;;;STIC SARL;;;
-STIR;;11000;BIZANET;06.12.44.64.63;;Non;;;;TRANSPORTS STIR;;;
-SUD LOIRE;;79106;THOUARS CEDEX;05.49.66.23.68;05.49.96.14.39;Non;;;;TAB;;;
-SUR PLACE;;;;;;Non;;;;(Sur place);;;
-SURREL;;43700;BRIVES CHARENSAC;04 71 09 29 23;04 71 04 04 89;Non;;;;SARL SURREL TRANSPORTS;;;
-T.A.B;;43203;REUS;977773732;977 34 10 74;Non;;;;ECISA;;;
-TARTABINI;;62010;POLLENZA;0733201566;0733201309;Non;;;;Tartabini Trasporti SRL;;;
-TDA;;69770;VILLECHENEVE;04.74.70.12.38;04.74.70.20.37;Non;;;;Transport Distribution Aliments;;;
-TOMA;;34450;VIAS;04.67.77.46.29;;Non;;;;TRANSPORTS TOMAS;;;
-TPS GATRANS;;34350;VENDRES;04 67 39 61 59;04 67 39 61 59;Non;;;;GATRANS;;;
-TRACTENEUR;;;;;;Non;;;;TRACTENEUR;;;
-TRALIA;;49700;DOUE LA FONTAINE;02.41.59.23.81;02.41.59.24.06;Non;;;;TRANSPORTS TRALLIA;;;
-TRANSCORAL;;11160;CAUNES MINERVOIS;04.68.65.22.36;04.68.65.22.36;Non;;;;SARL TRANSCORAL;;;
-TRANSGISCO;;34560;POUSSAN;04.67.18.16.25;04.67.18.17.42;Non;;;;TRANSGISCO;;;
-TRANSLAIT;;1720;CORMINBOEUF;;;Non;;;;SARL TRANSLAIT;;;
-TRANSLAUR;;69480;AMBERIEUX D'AZERGUES;04.37.55.55.55;04.37.55.55.60;Non;;;;Transports TRANSLAUR;;translaur@translaur.com;
-TRANSMAVIN;;13502;MARTIGUES;04.42.40.71.00;04.42.40.70.95;Non;;;;TRANSMAVIN;;;
-TRANSPORT DIAT;;44830;BOUYAE;;;Non;;;;;;;
-TRANSPORTS LODEZIENS;;34725;ST FELIX DE LODEZ;04.67.88.80.16;;Non;;;;TRANSPORTS LODEZIENS;;;
-TRANSPORTS SMT;;34310;MONTADY;06.11.52.18.69;;Non;;;;TRANSPORTS S.M.T;;;
-TRANSPORTUNTERNEHMEN;;01458;OTTENDORF-OKRILLA;;;Non;;;;TRANSPORTUNTERNEHMEN;;;
-TRANSPOVINS;;69700;VILLECHENEVE;04.74.70.12.38;;Non;;;;Transports Transpovins;;;
-TRANSVINS;;30260;VIC LE FESQ;;;Non;;;;TRANSVINS;;;
-TRAVESA;;13610;CAMPO DE CRIPTANA;926 58 90 16;926 58 91 29;Non;;;;TRAVESA;;;
-UDM;;30600;VAUVERT;;;Non;;;;TRANSPORTS UDM;;;
-VAN DAMME;;B-1470;BAISY THY;;;Non;;;;TRANSPORTS R. VAN DAMME;;;
-VAN DE VELDE;;B- 6041;GOSSELIES;32(071)35.52.38;32(071)35.64.24;Non;;;;TRANSPORTS VANDEVELDE;;;
-VAN DER BRULE;;01500;AMPRENAY;;;Non;;;;Transports VAN DER BRULE;;;
-VAN HEYSTE;;B-9910;KNESSELARE;;;Non;;;;TRANSPORTS VAN HEYSTE;;;
-VARY;;83340;FLASSANS SUR ISSOLE;;;Non;;;;TRANSPORTS VARY ET FILLES SARL;;;
-VERRIER;;13015;MARSEILLE;;;Non;;;;VERRIER TRANSPORT;;;
-VERVOER TRANSMET;;B3370;BOUTERSEM;;;Non;;;;VERVOER TRANSMET N.V;;;
-VEYNAT;;33370;TRESSE MELAC;05.57.97.70.30;05.57.97.70.40;Non;;;;ETS VEYNAT;;;
-VIALAT;;30700;UZES;04.66.22.64.88;04.66.22.45.22;Non;;;;VIALAT SA;;;
-VIANET;;;;;;Non;;;;TRANSPORT VIANET;;;
