Nom abrégé;Tel. int.;C. P.;Ville;Téléphone 1;Téléphone 2;Fax;N° compte;Famille;Raison sociale;Type;Région                        ;Email;Représentant
AMIEL;;11800;TREBES;04 68 78 62 97;;04 68 78 64 36;AMIEL;;SA ETS AMIEL; ;;namiel@maisonamiel.fr;
AMIEL1;;11890;CARCASSONNE CEDEX 9;;;;AMIEL1;;SAS AMIEL; ;;;
AMITIE;;06730;ST ANDRE DE LA ROCHE;04.93.54.29.29;;04.93.54.29.69;AMITIE;;CELLIER DE L'AMITIE; ;;;
ANDRE;T1;30200;BAGNOL S/ CEZE;04.66.39.83.06;;04 66 39 83 06;ANDRE;;LES VINS DU SOLEIL; ;;;
ANDRE SETE;;34200;SETE;;;;ANDRE SE;;LES VINS DU SOLEIL; ;;;
ANDREOLTTI;;30800;ST GILLES;0466873077;;;ANDREOLT;;CHATEAU LA BAUME; ;;;
ARNAUD;T1;23230;BORD ST GEORGES;05.55.65.71.09;;;;;Monsieur Arnaud; ;;;
ARNOUX ET FILS;;84190;VACQUEYRAS;04.90.65.84.18;;04.90.65.80.07;ARNOUX E;;ARNOUX ET FILS; ;;;
AROMES;;11200;THEZAN DES CORBIERES;06.13.82.72.50;04.68.43.32.34;;AROMES;;SARL AROMES DE SAINT ESTEVE; ;;;
ASSAS;;34400;LUNEL VIEL;04.67.65.93.55;06.77.73.51.71;;ASSAS;;LES CELLIERS DU PIC; ;;brdanieluzzi@wanadoo.fr;
AUBERT;;49270;LA VARENNE;02.40.98.50.02;;02.40.98.50.44;AUBERT;;AUBERT FRERES; ;;jj.tomat@prieure.fr;
AUJOUX;;71570;LA CHAPELLE DE GUINCHAY;03.85.23.83.50;;;AUJOUX;;AUJOUX; ;;;
AUJOUX 1;;71570;CHANES;;;;AUJOUX 1;;AUJOUX S/E SOBEMAB; ;;;
AUX  10  VINS;T2;89100;ST CLEMENT;03 86 95 06 27;;03.86.95.06.27;;;AUX DIX  VINS; ;;;
AVIGNON (TERRES);;84310;MORIERES LES AVIGNON;04.90.33.55.20;04.90.33.55.21;;AVIGNON;;SCEA TERRES D AVIGNON; ;;;
BADET CLEMENT;;21700;NUITS SAINT GEORGES;03.80.61.46.31;;03.80.61.42.19;BADET;;BADET CLEMENT ET CO; ;;catherine@badetclement.com;
BADET1;;11800;MARSEILLETTE;;;;BADET1;;BADET CLEMENT; ;;;
BANCHEREAU;;16120;ERAVILLE;;;;BANCHERE;;STE BANCHEREAU; ;;;
BARBUSSE-BONVENTRE;T2;71300;MONTCEAU LES MINES;03 85 58 45 49;;03 85 58 72 80;;;ETS BARBUSSE-BONVENTRE; ;;;
BAUMANN;;78224;SINGEN;;;;BAUMANN;;BAUMANN GMBH ET CO KG; ;;;
BAUNE;;45130;EPIEDS EN BEAUCE;02 38 74 20 05;;02.38.74.66.70;0BAUNE;;BAUNE Philippe; ;;baune.boissons@orange.fr;
BAYEUX BOUBEE;;14400;BAYEUX;02.31.51.42.00;;02.31.92.18.87;BAYEUX;;BAYEUX MAISON J. BOUBEE; ;;;
BAZIN;;44850;LE CELLIER;02.40.25.49.89;;;BAZIN;;BAZIN ET FILS; ;;;
BEAUME DE VENISE;;84190;BEAUME DE VENISE;04.90.12.41.14;06.85.57.60.08;04.90.12.41.21;BEAUME D;;VIGNERONS DE BALMA VENITIA; ;;;
BERNARD MAGREZ;;66720;MONTNER;04.68.80.24.81;;;BERNARD;;SA BERNARD MAGREZ; ;;;
BERTHETE;;84850;CAMARET SUR AYGUES;04.90.37.22.41;;04.90.37.74.55;BERTHETE;;DOMAINE DE LA BERTHETE; ;;la.berthete@wanadoo.fr;
BERTRAND DE TAVERNY;;33430;SAINT GERVAIS;;;;OBERTRAND DE TAVERNY;;BERTRAND DE TAVERNY; ;;;
BESOMBES;;49400;SAINT HILAIRE SAINT FLORENT;02.41.50.23.23;;02.41.50.30.45;BESOMBES;;ETS BESOMBES; ;;;
BESSIERE;;34140;MEZE;04.67.18.40.40;;04 67 43 77 03;BESSIERE;;ALLIANCE TERROIRS; ;;bessiere@bessiere.fr;
BF;;;;;;;BF;;BF; ;;;
BIECHER;;68590;SAINT HIPPOLYTE;03.89.73.00.14;;03.89.73.03.17;BIECHER;;*ETS BIECHER JEAN ET FILS; ;;info@vins-biecher.com;
BINDERER;;D55411;BINGHEN AM RHEIN;00.49.89.314.003.48;;00.49.89.314.003.71;BINDERER;;BINDERER ST URSULA WEINKELLEREI GMBH; ;;;
BINGEN;;55411;BINGEN AM RHEIN;;;;BINGEN;;BSU BINGEN/BINDERER ST URSULA; ;;;
BIRON 1;;34203;SETE;;;;BIRON 1;;SA BIRON S/E LES GRANDES SERRES; ;;;
BIRON SA;;34203;SETE;04.67.74.88.80;06.80.42.13.46;04.67.48.39.55;BIRON SA;;LACROIX SE/BIRON; ;;;
BIZANET;;11200;BIZANET;06.26.23.18.20;;04.68.33.79.19;BIZANET;;SPH GERARD BERTRAND; ;;;
BLAYE;;33390;BLAYE;;;;BLAYE;;A ET L CHEZ VINI SERVICE; ;;;
BLIN;T2;89520;ST SAUVEUR EN PUISAYE;03.86.45.54.62;;03.86.45.54.62;;;Mme Blin; ;;;
BODEGAS VINIVAL;;46370;CHIVA;34963568750;;;BODEGAS;;BODEGAS VINIVAL SL; ;;;
BOISSET;T1;21703;NUITS ST GEORGES;03.80.62.61.00;;03.80.62.61.03;;;J.C BOISSET; ;;;
BONFILS;;34310;CAPESTANG;04.67.93.10.10;;04.67.93.10.05;BONFILS;;SARL DOMAINES BONFILS; ;;;
BONFILS1;;84110;SABLET;04.90.46.93.30;;04.90.46.99.46;BONFILS1;;EARL BONFILS CHRISTIAN; ;;;
BONLOUIS;;30900;NIMES;04.66.68.91.11;04.66.68.91.12;04.66.62.38.07;BONLOUIS;;S.A.S.U BONLOUIS; ;;;
BORDELAISE D'EMBOUTEILLAGE SAS;;33270;BOULIAC;05.56.86.65.21;;05.56.86.77.72;BORDELAI;;SBE-BORDELAISE D'EMBOUTEILLAGE SAS; ;;;
BORDIER;T2;89190;MOLINONS;03.86.86.73.94;;03.86.86.81.42;;;S.A.R.L BORDIER J.L; ;;;
BOUACHON SASU;;34204;SETE CEDEX;04.90.39.78.05;;04.90.39.78.10;BOUACHON;;*LES VINS SKALLI SAS; ;;COMPTASETE04.67.46.71.67ANNEMARIETOUSTOU;
BOUBEE 1;;30942;NIMES CEDEX 9;04.66.01.77.77;;04.66.23.78.14;BAYEUX;;NIMES MAISON J. BOUBEE VRAC; ;;;
BOUBEE 2;;44330;LA CHAPELLE HEULIN;02.40.06.73.83;;;BOUBEE 2;;MAISON J.BOUBEE LA CHAPELLE HEULIN; ;;;
BOUBEE 3;;49700;DOUE LA FONTAINE;02.41.40.24.50;;;BOUBEE 3;;PRODIS DOUE LA FONTAINE; ;;;
BOUBEE BEYCHAC;;33750;BEYCHAC ET CAILLAU;05.56.72.54.69;;05.56.72.34.99;BAYEUX;;BEYCHAC MAISON J.BOUBEE; ;;;
BOUBEE JOHANES;;33006;BORDEAUX CEDEX;05.56.48.87.87;;05.56.48.87.88;BAYEUX;;MAISON JOHANES BOUBEE; ;;;
BOUEY;;33440;AMBARES ET GRAVE;0556775071;;;BOUEY;;MAISON BOUEY; ;;;
BOUGRIER;T1;41400;ST GEORGES S/ CHER;02.54.32.31.36;;02.54.71.09.61;;;Maison Bougrier; ;;st.georges@bougrier.fr;
BOUGRIER 1;;41400;ST GEORGES S/CHER;;;;BOUGRIER;;SA BOUGRIER S/E CHEZ LES CAVES; ;;;
BOURGEOIS VINS;;1338;BAILLAGUES;41 21 843 9383;;41 21 843 9384;BOURGEOI;;BOURGEOIS VINS SA; ;;;
BOURRE ET FILS;;49410;LA CHAPELLE SAINT FLORENT;02.41.72.13.20;;02.41.72.76.40;BOURRE E;;ETS BOURRE ET FILS; ;;;
BOURRY;;30740;LE CAILAR;04.66.88.69.60;;04.66.88.69.61;BOURRY;;SARL LE GRAND BOURRY; ;;domainedupereguillot@orange.fr;
BOURRY 1;;69910;VILLIE-MORGON;04.74.69.14.02;06.08.21.20.84;04.74.69.10.81;BOURRY 1;;SARL DU GRAND BOURRY; ;;domainedupereguillot@orange.fr;
BROTTE;;84231;CHATEAUNEUF DU PAPE;04.90.83.70.07;;04.90.83.74.34;BROTTE;;BROTTE SA; ;;SIRET : 70592022100011;
BRUNEL ROBERT;;84550;MORNAS;;;;BRUNEL R;;BRUNEL ROBERT SAS; ;;;
C.S.P;;34400;ST CHRISTOL;04.67.86.85.55;06.81.90.54.47;;C.S.P;;SARL C.S.P; ;;;
C.V.B;;71150;CHAGNY;03.85.87.51.40;;03.85.87.51.11;C.V.B;;COMPAGNIE VINICOLE DE BOURGOGNE; ;;;
CALINI;;KS66223;;8167791000 272;;;CALINI;;KENEFAKE ET CALINI GROUP LLC; ;;;
CALVISSON COOP;;30420;CALVISSON;;;;CALVISSO;;S.C.A LES VIGNERONS DE CALVISSON; ;;;
CANTAL VINS;T1;15130;ARPAJON S/ CERE;04.71.63.45.65;06.32.25.32.22;04.71.63.50.32;;;Ets Cantal Vins; ;;;
CARCASSONNE;;11880;CARCASSONNE;;;01.68.11.51.75;UCCOAR;;GROUPE UCCOAR; ;;;
CARLIER MATHIEU;;84350;COURTHEZON;04.90.65.87.63;;04.90.65.81.87;CARLIER;;S.P.V.O MATHIEU CARLIER; ;;info@mathieucarlier.com;
CASTEL;T1;34536;BEZIERS CEDEX;04 67 11 88 00;;04 67 11 87 97;;;ETS CASTEL FRERES; ;;;
CASTEL 1;;62503;SAINT MARTIN AU LAERT;03.21.38.68.09;;03.21.38.68.54;CASTEL 1;;ETS CASTEL FRERES ST OMER; ;;achatvin@caves-st-arnould.fr;
CASTEL 2;;34500;BEZIERS;;;;CASTEL 2;;Ets CASTEL; ;;;
CASTEL 3;;44330;LA CHAPELLE HEULIN;02.40.06.73.83;;02.40.06.76.49;CASTEL 3;;CASTEL FRERES; ;;;
CASTEL 4;;33295;BANQUEFORT;;;;CASTEL 4;;ETS CASTEL FRERES BLANQUEFORT; ;;;
CASTEL BRISSAC;;49320;BRISSAC QUINCE;02.41.91.50.00;;02.41.54.25.40;CASTEL B;;ETS CASTEL FRERES; ;;;
CASTEL ST PRIEST;;69800;ST PRIEST;04.72.23.36.36;;04.72.23.36.01;CASTEL S;;CASTEL; ;;;
CASTILLON DU GARD;;30210;CASTILLON DU GARD;04.66.37.49.50;;04.66.37.49.51;CASTILLO;;*COMPAGNIE RHODANIENNE; ;;cecile.fesquet@rhodanienne.com;
CAVE DE L'ORZON;;69590;ST SYMPHORIEN SUR COISE;04.78.48.42.30;;04.78.48.42.30;CAVE DE;;La Cave de l'Orzon; ;;;
CAVE LES COTEAUX;;34160;ST GENIES DES MOURGUES;04.67.86.21.99;;04.67.86.22.65;;;Cave les Coteaux; ;;;
CAVE STE CECILE;;84290;STE CECILE LES VIGNES;;;;CAVE STE;;Cave des vignerons reunis; ;;;
CAVEAUX;;34310;QUARANTE;04.67.89.40.39;;04.67.89.34.10;CAVEAUX;;EURL CAVEAUX; ;;;
CAVES DU PIC;;34820;ASSAS;;;;ASSAS;;CAVES DU PIC SAS; ;;;
CAVES DU SIEUR D ARQUES;;11303;LIMOUX;04 68 74 63 00;;04.68.74.63.16;ARQUES;;SAS SIEUR D'ARQUES; ;;;
CAVES MAYETOISES;T1;03250;LE MAYET DE MONTAGNE;04.70.59.70.17;;04.70.59.72.29;;;CAVES MAYETOISES; ;;;
CAVES MAYETOISES RENAISON;T1;42370;RENAISON;;;;RIEN;;CAVES MAYETOISES/CHAI DE RENAISON; ;;;
CAVES ST ARNOULD;;62503;ST OMER;;;;ST ARNOULD;;CAVE ST ARNOULD; ;;;
CDV S/E ALIGNAN DU VENT CEPAGE;;34420;NEFFIES;06.31.99.50.98;;;CDV S/E;;SPH GERARD BERTRAND; ;;;
CEBAZAN;;34360;CEBAZAN;04.67.38.01.74;;04.67.38.16.11;CEBAZAN;;UNION CAVES COOPERATIVES CEBAZAN; ;;;
CELLE ET ALLARD;T1;43500;ST GEORGES LAGRICOL;04.71.03.32.57;;;;;Ets Celle & Allard; ;;;
CELLIER DES PRADEAUX;;83270;ST CYR SUR MER;04 94 26 10 39;06.60.32.15.69;04 94 26 40 16;PRADEAUX;;CELLIER DES PRADEAUX; ;;;
CELLIERS DES DEMOISELLES;;11220;ST LAURENT DE LA CABRERISSE;04.68.44.02.73;;04.68.44.07.05;DES DEMOISELLES;;SCV CELLIERS DES DEMOISELLES; ;;;
CEPAGES PROVENCAUX;T2;76000;LE HAVRE;02 35 22 59 20;;;CEPAGES;;LES CEPAGES PROVENCAUX; ;;;
CERESTER ITALIE;;56020;S.MINIATO (PISA);00390571465048;;00390571465059;CERESTER;;CERESTER SRL; ;;;
CESSENON;;34460;CESSENON;;;;CESSENON;;SCAV DE CESSENON; ;;;
CHACE;;49400;CHACE;;;;CHACE;;ACKERMAN REMY PANIER; ;;;
CHAI/ENT DE TOURAINE;T1;37150;LA CROIX EN TOURAINE;02.47.57.94.09;;02 47 57 94 64;;;CHAIS ET ENTREPOTS DE TOURAINE; ;;;
CHAIS BEAUCAIROIS;;30302;BEAUCAIRE CEDEX;04.66.59.74.00;04.66.59.74.25;04.66.59.74.85;CHAIS BE;;SAS MONCIGALE; ;;04.66.59.74.27FAX;
CHAIS DE FRANCE;;67290;PETERSBACH;05.57.98.07.20;;05.56.62.45.38;CHAIS DE;;GRANDS CHAIS DE FRANCE; ;;;
CHARMASSON;;;;;;;CHARMASS;;; ;;;
CHAROUSSET;;84500;BOLLENE;04 90 30 21 36;;04 90 30 23 01;CHAROUSS;;CHAROUSSET / CORBET; ;;;
CHARTREUX;;30131;PUJAUT;04.90.26.39.40;;;CHARTREU;;SCA CELLIER DES CHARTREUX; ;;;
CHENGDU SUN-PLUS;;610000;P.R CHINA;13668281530;;;CHENGDU;;CHENGDU SUN-PLUS TRADE CO ITD; ;;;
CHERRY BARRUOL;;84190;GIGONDAS;04.90.65.80.80;;04.90.65.81.05;CHERRY B;;SARL LOUIS ET CHERRY BARRUOL; ;;;
CIAMPOLI;;66026;ORTONA;;;;CIAMPOLI;;CIAMPOLI TOMMASO; ;;;
CIGALUS;;11200;BIZANET;;;;CIGALUS;;DOMAINE CIGALUS; ;;;
CLARET COOP;;34270;CLARET;04.67.59.00.26;;;CLARET C;;CAVE COOPERATIVE CLARET; ;;;
CLERGET PATRICK;;21209;BEAUNE CEDEX;03.80.26.53.73;;03.80.26.53.76;CLERGET;;SELECTION PATRICK CLERGET; ;;;
CLOS ROGE;;30350;SAVIGNARGUES;04.66.83.42.83;;04.66.83.44.46;CLOS ROG;;SARL CLOS ROGE; ;;;
CLUB DES VIGNERONS;;34300;AGDE;04.67.94.48.73;06.71.57.12.03;04.67.94.36.33;CLUB DES;;LE CLUB DES VIGNERONS; ;;;
CODIVIA;;30380;ST CHRISTOL LES ALES;04.66.61.79.59;;04.66.61.69.89;CODIVIA;;AGENCE CLVD; ;;codivia@fr.oleane.com;
COLLANGE;T1;63380;LANDOGNE;04.73.79.97.84;;;;;CAVE DES BOUCHONS; ;;;
COLLANGE 1;;15130;ARPAJON / CERE;;;;COLLANGE;;CAVE DES BOUCHONS S/E CANTAL VINS; ;;;
COMAVIN;T1;21201;BEAUNE;03.80.24.53.67;;03.80.24.53.03;;;COMAVIN; ;;;
COMPAGNIE DES VINS B;;34500;BEZIERS;04.67.11.86.86;;04.67.11.86.81;COMPAGNI;;COMPAGNIE DES VINS B; ;;;
COMVIN GMBH;;D-76530;BADEN BADEN;0049(0)7221-3657-0;;00049(0)7221-22 300;COMVIN G;;COMVIN GMBH; ;;mail@comvin.de;
CONRAADS;;58B4040;HERSTAL;32475230785;;;CONRAADS;;MR CONRAADS NOEL; ;;;
CORBET;T1;21220;MOREY ST DENIS;03 80 51 81 34;;03 80 34 11 61;;;CORBET SA; ;;;
CORBET BOLLENE;T1;84500;BOLLENE;04 90 30 21 36;;;;;CORBET BOLLENE; ;;;
CORCONNE;;30260;CORCONNE;04.66.77.32.75;;;CORCONNE;;CAVE COOPERATIVE DE CORCONNE; ;;;
COTTIN;T2;71160;DIGOIN;03.85.53 06.06;;03.85.53.28.48;;;Ets Cottin; ;;;
COURNONSEC;;34600;COURNONSEC;04.67.68.67.50;;04.67.68.67.57;COURNONS;;TVD/COURNONSEC; ;;;
COVIBI;;;;;;;COVIBI;;COVIBI; ;;;
COXE ET FILS;;41700;COUDDES;02.54.71.33.33;;02.54.71.39.06;COXE ET;;COXE ET FILS SA; ;;COXE.SA@wanadoo.fr;
CREATEK INC.;;;SEOUL;;;;CREATEK;;CREATEK INC.; ;;;
CROIX COUVERTE;;30300;BEAUCAIRE;;;;CROIX CO;;SAS LA CROIX COUVERTE; ;;;
CROUZET;;;;;;;CROUZET;;CROUZET; ;;;
CVS;;11590;SALLELES D'AUDE;04.68.58.11.15;06.73.38.80.67;;CVS;;SICA LES CAVES DE MONT TAUCH S/E CVS; ;;;
DAMIANO;;83000;DRAGUIGNAN;04.94.68.16.17;;04.94.47.22.88;DAMIANO;;SARL DAMIANO; ;;;
DAUMAS-GASSAC;;34150;ANIANE;;;;;;Domaine de DAUMAS GASSAC; ;;;
DAUPHINS;;26790;TULETTE;04.75.96.20.00;;04.75.97.33.42;DAUPHINS;;CELLIERS DES DAUPHINS; ;;;
DE ROCHEBIN;;71260;AZE;;;;DE ROCHE;;SARL DE ROCHEBIN; ;;;
DEGROOTE;;34440;NISSAN LEZ ENSERUNE;04.67.37.22.36;04.67.37.65.90;;DEGROOTE;;LES DOMAINES MONTARIOL DEGROOTE; ;;domainelanguedocie@wanadoo.fr;
DEGROOTE 2;;11610;PENNAUTIER;;;;DEGROOTE;;LES DOMAINES DE MONTARIOL DRGROOTE; ;;;
DELAIR;T1;15500;LA CHAPELLE LAURENT;04.71.73.13.59;;;;;Ets Delair; ;;;
DELAS FRERES;;07300;ST JEAN DE MUZOLS;04.75.08.60.30;;04.75.08.53.67;DELAS FR;;*DELAS FRERES; ;;;
DELHAIZE 1;;BE1080;BRUXELLES;;;;DELHAIZE;;DELHAIZE IC WINERY; ;;;
DELHAIZE-LE LION;;1080;BRUXELLES;0032 24 122 111;;0032 24 122 194;DELHAIZE;;DELHAIZE BELGIQUE; ;;;
DESBORDES;T1+2;63410;MANZAT;04.73.86.61.54;;;;;Ets Desbordes; ;;;
DESBORDES S/E CANTAL VINS;T1+2;15130;ARPAJON S/ CERE;;;;DESBORDE;;ETS DESBORDES; ;;;
DESCOMBES;T1;69460;ST ETIENNE DES OULLIERES;04.74.03.41.73;;04.74.03.48.07;;;VINS DESCOMBE SAS; ;;info@vins-descombe.com;
DEUTZ CHAMPAGNE;;51160;AY;03.26.56.94.00;;;DEUTZ CH;;*SA CHAMPAGNE DEUTZ/DELAS; ;;;
DEUX RHONES;;;;;;;DEUX RHO;;UNION; ;;;
DEZZANI SRL;T2+1;14023;COCCONATO AT;00390141907236;;00390141907372;;;FRATTELLI DEZZANI SRL; ;;luigi.dezzani@dezzani.it;
DIPROVIN;;33440;AMBARES ET LAGRAVES;05.56.38.80.00;;;DIPROVIN;;ETS GVG DIPROVIN; ;;;
DISTILLERIE DE LA TOUR;;17500;JONZAC;05.46.48.02.88;;05.46.48.49.78;DISTILLE;;DISTILLERIE DE LA TOUR; ;;s.dagnicourt@distilleriedelatour.com;
DISTILLERIE DE LA TOUR 1;;17800;PONS;05.46.91.31.44;;05.46.96.15.83;DISTILLE;;DISTILLERIE DE LA TOUR; ;;;
DISTRIBOISSONS;;75017;PARIS;;;;DISTRIBO;;DISTRIBOISSONS; ;;;
DMD SARL;;34500;BEZIERS;;;;DMD SARL;;SARL DMD; ;;;
DMNE AUBIAN;;11590;CUXAC D AUDE;04.68.48.52.81;;;DMNE AUB;;LES VIGNOBLES DU SOLEIL; ;;;
DMNES DU RHONE;;69400;LIMAS;04.37.24.24.50;;04.72.74.41.23;DMNES DU;;VIGNOBLES ET DOMAINES DU RHONE; ;;;
DOMAINES DU RHONE;;69009;LYON;04.72.74.41.23;;;DOMAINES;;VIGNOBLES ET DOMAINES DU RHONE; ;;c.lavesvre@vignobles-domaines-du-rhone.fr;
DOUDON VINS;;66002;PERPIGNAN CEDEX;04.68.54.10.00;;04.68.54.04.70;DOUDON V;;DOUDON VINS; ;;;
DRATHEN JOSEF;;D56856;ZELL/MOSEL;;;0049654270055;DRATHEN;;DRATHEN JOSEF GMBH et CO.KG; ;;;
DROMARD;;21550;LADOIX SERRIGNY;03.80.26.40.59;;;DROMARD;;DROMARD; ;;;
DRUART;T2;69790;ST IGNY DE VERS;04.74.04.50.60;;;;;Ets Druart; ;;;
DU DUPELOUX;;84350;COURTHEZON;;;;DU DUPEL;;F.G.V.S (SITE DU PELOUX); ;;;
DU PRIEURE;;49170;SAINT GEORGES SUR LOIRE;02.41.72.14.70;;02.41.72.14.76;DU PRIEU;;LES CELLIERS DU PRIEURE; ;;n.rubin@prieure.fr;
DU VENT;;34630;ST THIBERY;04.67.90.69.98;;04.67.90.38.25;DU VENT;;LES CELLIERS DU VENT; ;;;
DUBOEUF;T1;71570;ROMANECHE THORINS;03.85.35.34.20;;03.85.35.34.25;DUBOEUF;;VINS GEORGES  DUBOEUF; ;;;
DUFOULEUR FRERES;T1;21701;NUITS ST GEORGES;03.80.61.00.26;;03 80 61 36 33;;;Maison Dufouleur Frères; ;;jl.dufouleur@dufouleur-freres.com;
DUFOULEUR PERE / FILS;T1;21700;NUITS ST GEORGES;03.80.61.21.21;06.09.05.04.99;03.80.61.10.65;;;MAISON Dufouleur Père/Fils; ;;;
DUVERNAY;;84231;CHATEAUNEUF DU PAPE CEDEX;04.90.83.71.88;;04.90.83.70.72;DUVERNAY;;ETS DUVERNAY VINS MILLESIMES; ;;dvm.duvernay@wanadoo.fr;
EINIG;;D-56759;KAISERSESCH;;;;EINIG;;EINIG-ZENZEN; ;;;
ESV EURALIS;;84700;SORGUES;;;;ESV EURA;;VIGNOBLES ET DOMAINES DU RHONE; ;;;
EXPORT - UNION;;;ALZEY;;;;EXPORT -;;EXPORT - UNION; ;;;
EXPORTATION;;;;;;;EXPORTAT;;EXPORTATION HORS DE LA COMMUNAUTE; ;;;
F.G.V.S;;21703;NUITS ST GEORGES CEDEX;03.80.62.61.62;;;F.G.V.S;;La Famille Des Grands Vins et Spiritueux; ;;;
FAUGERES DISTRIBUTION;;34600;FAUGERES;04.67.95.08.80;;;FAUGERES;;SARL LES CRUS FAUGERES DISTRIBUTION; ;;;
FERRAGUT;;;;;;;FERRAGUT;;ETS FERRAGUT; ;;;
FERRANDIERES;;11160;RIEUX MINERVOIS;;;;FERRANDI;;SARL LES FERRANDIERES; ;;;
FIEE DES LOIS;;79230;PRAHECQ;05.49.32.15.15;;05.49.32.16.05;FIEE DES;;*FDL; ;;;
FONCALIEU;;11290;ARZENS;04 68 76 21 68;;04 68 76 33.01;FONCALIE;;LES VIGNOBLES FONCALIEU; ;;;
FONTANES CAVE COOP;;30250;FONTANES;;;;FONTANES;;FONTANES CAVE COOPERATIVE; ;;;
FORMONT;T1;10000;TROYES;03.25.81.14.34;;;;;SA Formont; ;;;
FOULON JEANJEAN;;11300;LIMOUX;;;;FOULON J;;FOULON JEANJEAN; ;;;
FOULON SOPAGLY;;71020;MACON;03.85.32.81.71;;03.85.32.89.70;FOULON S;;FGV BOISSET S/E CHEZ FOULON SOPAGLY; ;;;
FOURNALET;;84230;CHATEAUNEUF DU PAPE;;;;FOURNALE;;CAVES DU FOURNALET VICOMTE DE LIGNA; ;;;
FOURNIER;;34760;BOUJAN SUR LIBRON;04.67.30.45.91;06.80.08.10.53;;FOURNIER;;SARL DOMAINE FOURNIER; ;;TELDMNE09.65.23.72.09;
FRABEL DRINKS;;34350;VENDRES;06.88.53.69.56;;04 67 89 46 09;FRABEL D;;FRABEL DRINKS; ;;;
FRANCAISE DES VINS;;;;;;;FRANCAIS;;FRANCAISE DES VINS; ;;;
FRANCIOLLI;T1;74700;SALLANCHES;04.50.58.02.78;;;FRANCIOLLI;;Ets Franciolli; ;;;
FRANCIZOD;T1;74270;CHESSENAZ;04.50.32.23.25;06.16.18.02.85;;FRANCIZOD;;Sarl Ets Jean Luc Francisod; ;;;
FRENCH WINE;;30000;NIMES;04.66.21.15.07;06.23.38.53.87;;FRENCH W;;FRENCH WINE GROUP; ;;;
FRENCH-WINES;;;LATTES;;;;FRENCH-W;;FRENCH WINES GROUP; ;;;
FRERES CASTEL;;44300;LE PALLET;;;;FRERES C;;CASTEL FRERES; ;;;
FREUDENREICH;;D66333;VOLKLINGEN;;;;FREUDENR;;FREUDENREICH GMBH; ;;;
FRIEDMANN;;84290;STE CECILE LES VIGNES;;;;FRIEDMAN;;ETS FRIEDMANN; ;;;
FRIEDMANN STE CECILE;;84290;STE CECILE LES VIGNES;04.90.11.16.90;;04.90.34.70.47;FRIEDMAN;;ETS FRIEDMANN; ;;;
FRIEDRICH;;44403;REZE;;;;FRIEDRIC;;CASTEL FRERES SAS; ;;;
FROMONT;;89144;LIGNY LE CHATEL;03.86.98.20.40;;03.86.47.40.72;FROMONT;;SAS MAISON FROMONT; ;;accueil@chateau-de-ligny.com;
FROMONT 1;;84700;SORGUES;;;;FROMONT;;CLUB DES CHATEAUX ET DOMAINES SAS; ;;;
FRONTIGNAN;;34110;FRONTIGNAN;;;;FRONTIGN;;MUSCATS DE FRONTIGNAN; ;;;
